ISBN,title,author,Year-Of-Publication,image
0380447436,No Greater Love,Patricia Gallagher,1979,http://images.amazon.com/images/P/0380447436.01.MZZZZZZZ.jpg
0440163773,No Greater Love,Jan Stuart,1986,http://images.amazon.com/images/P/0440163773.01.MZZZZZZZ.jpg
0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,http://images.amazon.com/images/P/0385420161.01.MZZZZZZZ.jpg
0385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998,http://images.amazon.com/images/P/0385492081.01.MZZZZZZZ.jpg
0385494785,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1999,http://images.amazon.com/images/P/0385494785.01.MZZZZZZZ.jpg
038550120X,A Painted House,JOHN GRISHAM,2001,http://images.amazon.com/images/P/038550120X.01.MZZZZZZZ.jpg
044023722X,A Painted House,John Grisham,2001,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg
0385337930,A Painted House,JOHN GRISHAM,2004,http://images.amazon.com/images/P/0385337930.01.MZZZZZZZ.jpg
0385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,http://images.amazon.com/images/P/0385722206.01.MZZZZZZZ.jpg
0394820371,The Phantom Tollbooth,Norton Juster,1993,http://images.amazon.com/images/P/0394820371.01.MZZZZZZZ.jpg
0399137734,Dragon Tears,Dean R. Koontz,1993,http://images.amazon.com/images/P/0399137734.01.MZZZZZZZ.jpg
0425140032,Dragon Tears,Dean R. Koontz,1995,http://images.amazon.com/images/P/0425140032.01.MZZZZZZZ.jpg
0425118703,Midnight,Dean R. Koontz,1995,http://images.amazon.com/images/P/0425118703.01.MZZZZZZZ.jpg
0425194515,Midnight,Dean Koontz,2004,http://images.amazon.com/images/P/0425194515.01.MZZZZZZZ.jpg
0399133909,Midnight,Dean R. Koontz,1989,http://images.amazon.com/images/P/0399133909.01.MZZZZZZZ.jpg
0450053598,Midnight,John Russo,1983,http://images.amazon.com/images/P/0450053598.01.MZZZZZZZ.jpg
0812518500,Midnight,Charles Grant,1985,http://images.amazon.com/images/P/0812518500.01.MZZZZZZZ.jpg
0425120279,The Hunt for Red October,Tom Clancy,1990,http://images.amazon.com/images/P/0425120279.01.MZZZZZZZ.jpg
0425083837,The Hunt for Red October,Tom Clancy,1985,http://images.amazon.com/images/P/0425083837.01.MZZZZZZZ.jpg
042513699X,Turtle Moon,Alice Hoffman,1993,http://images.amazon.com/images/P/042513699X.01.MZZZZZZZ.jpg
0399137203,Turtle Moon,Alice Hoffman,1992,http://images.amazon.com/images/P/0399137203.01.MZZZZZZZ.jpg
0425161285,Turtle Moon,Alice Hoffman,1997,http://images.amazon.com/images/P/0425161285.01.MZZZZZZZ.jpg
0425145638,Fatal Cure,Robin Cook,1997,http://images.amazon.com/images/P/0425145638.01.MZZZZZZZ.jpg
039913879X,Fatal Cure,Robin Cook,1994,http://images.amazon.com/images/P/039913879X.01.MZZZZZZZ.jpg
0425147622,The Body Farm,Patricia Daniels Cornwell,1995,http://images.amazon.com/images/P/0425147622.01.MZZZZZZZ.jpg
0425148637,The Body Farm,Patricia Daniels Cornwell,1994,http://images.amazon.com/images/P/0425148637.01.MZZZZZZZ.jpg
0425151867,Acceptable Risk,Robin Cook,1996,http://images.amazon.com/images/P/0425151867.01.MZZZZZZZ.jpg
0399139710,Acceptable Risk,Robin Cook,1995,http://images.amazon.com/images/P/0399139710.01.MZZZZZZZ.jpg
0425155404,Invasion,Robin Cook,1997,http://images.amazon.com/images/P/0425155404.01.MZZZZZZZ.jpg
0515128422,Invasion,Eric L. Harry,2000,http://images.amazon.com/images/P/0515128422.01.MZZZZZZZ.jpg
225317114X,Invasion,Robin Cook,2000,http://images.amazon.com/images/P/225317114X.01.MZZZZZZZ.jpg
0425157539,Sudden Prey,John Sandford,1997,http://images.amazon.com/images/P/0425157539.01.MZZZZZZZ.jpg
0399141383,Sudden Prey,John Sandford,1996,http://images.amazon.com/images/P/0399141383.01.MZZZZZZZ.jpg
0743504771,Sudden Prey,John Sanford,2001,http://images.amazon.com/images/P/0743504771.01.MZZZZZZZ.jpg
0425158632,Executive Orders (Jack Ryan Novels),Tom Clancy,1997,http://images.amazon.com/images/P/0425158632.01.MZZZZZZZ.jpg
042516313X,Breathing Lessons,Anne Tyler,1998,http://images.amazon.com/images/P/042516313X.01.MZZZZZZZ.jpg
042511774X,Breathing Lessons,Anne Tyler,1994,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg
0099201410,Breathing Lessons,Anne Tyler,0,http://images.amazon.com/images/P/0099201410.01.MZZZZZZZ.jpg
0394572343,Breathing Lessons,Anne Tyler,1988,http://images.amazon.com/images/P/0394572343.01.MZZZZZZZ.jpg
0517056992,Breathing Lessons,Anne Tyler,1990,http://images.amazon.com/images/P/0517056992.01.MZZZZZZZ.jpg
0425178102,Big Trouble,Dave Barry,2001,http://images.amazon.com/images/P/0425178102.01.MZZZZZZZ.jpg
0399145672,Big Trouble,Dave Barry,1999,http://images.amazon.com/images/P/0399145672.01.MZZZZZZZ.jpg
0425184129,Big Trouble,Dave Barry,2002,http://images.amazon.com/images/P/0425184129.01.MZZZZZZZ.jpg
042518630X,Purity in Death,J.D. Robb,2002,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg
0440124344,Family Album,Danielle Steel,1989,http://images.amazon.com/images/P/0440124344.01.MZZZZZZZ.jpg
0425186326,Family Album,Patricia Kay,2002,http://images.amazon.com/images/P/0425186326.01.MZZZZZZZ.jpg
0385293925,Family Album,Danielle Steel,1985,http://images.amazon.com/images/P/0385293925.01.MZZZZZZZ.jpg
0440206154,Red Dragon,Thomas Harris,2000,http://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg
0553227467,Red Dragon,Thomas Harris,1982,http://images.amazon.com/images/P/0553227467.01.MZZZZZZZ.jpg
0385319673,Red Dragon,Thomas Harris,1998,http://images.amazon.com/images/P/0385319673.01.MZZZZZZZ.jpg
0553264850,Red Dragon,Thomas Harris,1986,http://images.amazon.com/images/P/0553264850.01.MZZZZZZZ.jpg
0712653570,Red Dragon,Thomas Harris,1991,http://images.amazon.com/images/P/0712653570.01.MZZZZZZZ.jpg
0440207622,Daddy,DANIELLE STEEL,1990,http://images.amazon.com/images/P/0440207622.01.MZZZZZZZ.jpg
0446359173,Daddy,Loup Durand,1990,http://images.amazon.com/images/P/0446359173.01.MZZZZZZZ.jpg
0385297661,Daddy,Danielle Steel,1989,http://images.amazon.com/images/P/0385297661.01.MZZZZZZZ.jpg
0394570480,Daddy,Loup Durand,1988,http://images.amazon.com/images/P/0394570480.01.MZZZZZZZ.jpg
044021145X,The Firm,John Grisham,1992,http://images.amazon.com/images/P/044021145X.01.MZZZZZZZ.jpg
0385416342,The Firm,John Grisham,1991,http://images.amazon.com/images/P/0385416342.01.MZZZZZZZ.jpg
0440220394,A Wrinkle in Time,L'Engle Madelein,1996,http://images.amazon.com/images/P/0440220394.01.MZZZZZZZ.jpg
0440998050,A Wrinkle in Time,Madeleine L'Engle,1976,http://images.amazon.com/images/P/0440998050.01.MZZZZZZZ.jpg
0374386137,A Wrinkle in Time,Madeleine L'Engle,1962,http://images.amazon.com/images/P/0374386137.01.MZZZZZZZ.jpg
0440800544,A Wrinkle in Time,Madeleine L'Engle,1988,http://images.amazon.com/images/P/0440800544.01.MZZZZZZZ.jpg
0440220602,The Chamber,John Grisham,1995,http://images.amazon.com/images/P/0440220602.01.MZZZZZZZ.jpg
0385424728,The Chamber,John Grisham,1994,http://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg
0440222842,Five Days in Paris,DANIELLE STEEL,1997,http://images.amazon.com/images/P/0440222842.01.MZZZZZZZ.jpg
0385315309,Five Days in Paris,DANIELLE STEEL,1995,http://images.amazon.com/images/P/0385315309.01.MZZZZZZZ.jpg
0440224594,The Return Journey,MAEVE BINCHY,1999,http://images.amazon.com/images/P/0440224594.01.MZZZZZZZ.jpg
0553525131,The Return Journey,Maeve Binchy,1998,http://images.amazon.com/images/P/0553525131.01.MZZZZZZZ.jpg
0613293339,The Return Journey,Maeve Binchy,2001,http://images.amazon.com/images/P/0613293339.01.MZZZZZZZ.jpg
0440224772,Mirror Image,Danielle Steel,1999,http://images.amazon.com/images/P/0440224772.01.MZZZZZZZ.jpg
0446353957,Mirror Image,Sandra Brown,1990,http://images.amazon.com/images/P/0446353957.01.MZZZZZZZ.jpg
0385315090,Mirror Image,Danielle Steel,1998,http://images.amazon.com/images/P/0385315090.01.MZZZZZZZ.jpg
068985790X,Mirror Image,Jeff Mariotte,2003,http://images.amazon.com/images/P/068985790X.01.MZZZZZZZ.jpg
073940086X,Mirror Image,Danielle Steel,0,http://images.amazon.com/images/P/073940086X.01.MZZZZZZZ.jpg
0440226430,Summer Sisters,Judy Blume,1999,http://images.amazon.com/images/P/0440226430.01.MZZZZZZZ.jpg
0385324057,Summer Sisters,Judy Blume,1998,http://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg
0440235596,Tara Road,Maeve Binchy,2000,http://images.amazon.com/images/P/0440235596.01.MZZZZZZZ.jpg
0385335121,Tara Road,Maeve Binchy,1999,http://images.amazon.com/images/P/0385335121.01.MZZZZZZZ.jpg
0752821563,Tara Road,Maeve Binchy,0,http://images.amazon.com/images/P/0752821563.01.MZZZZZZZ.jpg
0440236673,The Brethren,John Grisham,2000,http://images.amazon.com/images/P/0440236673.01.MZZZZZZZ.jpg
0385497466,The Brethren,JOHN GRISHAM,2000,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg
044023669X,The Kiss,Danielle Steel,2002,http://images.amazon.com/images/P/044023669X.01.MZZZZZZZ.jpg
0385335407,The Kiss,Danielle Steel,2001,http://images.amazon.com/images/P/0385335407.01.MZZZZZZZ.jpg
067944999X,The Kiss,Kathryn Harrison,1997,http://images.amazon.com/images/P/067944999X.01.MZZZZZZZ.jpg
0380731479,The Kiss,Kathryn Harrison,1998,http://images.amazon.com/images/P/0380731479.01.MZZZZZZZ.jpg
0380783479,The Kiss,Kathryn Reines,1996,http://images.amazon.com/images/P/0380783479.01.MZZZZZZZ.jpg
0446310786,To Kill a Mockingbird,Harper Lee,1988,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
0060935464,To Kill a Mockingbird,Harper Lee,2002,http://images.amazon.com/images/P/0060935464.01.MZZZZZZZ.jpg
0446310492,To Kill a Mockingbird,Harper Lee,1985,http://images.amazon.com/images/P/0446310492.01.MZZZZZZZ.jpg
0397001517,To Kill a Mockingbird,Harper Lee,1960,http://images.amazon.com/images/P/0397001517.01.MZZZZZZZ.jpg
006017322X,To Kill a Mockingbird,Harper Lee,1995,http://images.amazon.com/images/P/006017322X.01.MZZZZZZZ.jpg
0446363251,"Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\""""",Alexandra Ripley,1992,http://images.amazon.com/images/P/0446363251.01.MZZZZZZZ.jpg
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg
0785734783,Along Came a Spider (Alex Cross Novels),James Patterson,1999,http://images.amazon.com/images/P/0785734783.01.MZZZZZZZ.jpg
0446692638,Along Came a Spider (Alex Cross Novels),James Patterson,2003,http://images.amazon.com/images/P/0446692638.01.MZZZZZZZ.jpg
0446364800,The General's Daughter,Nelson DeMille,1993,http://images.amazon.com/images/P/0446364800.01.MZZZZZZZ.jpg
0446513067,The General's Daughter,Nelson DeMille,1992,http://images.amazon.com/images/P/0446513067.01.MZZZZZZZ.jpg
0446679100,The General's Daughter,Nelson DeMille,2002,http://images.amazon.com/images/P/0446679100.01.MZZZZZZZ.jpg
0446516317,The Witness,Sandra Brown,1995,http://images.amazon.com/images/P/0446516317.01.MZZZZZZZ.jpg
0446603309,The Witness,Sandra Brown,1996,http://images.amazon.com/images/P/0446603309.01.MZZZZZZZ.jpg
0515107476,The Witness,W. E. B. Griffin,1992,http://images.amazon.com/images/P/0515107476.01.MZZZZZZZ.jpg
0451200756,The Witness,Richard S. Wheeler,2000,http://images.amazon.com/images/P/0451200756.01.MZZZZZZZ.jpg
044651652X,The Bridges of Madison County,Robert James Waller,1992,http://images.amazon.com/images/P/044651652X.01.MZZZZZZZ.jpg
0446364495,The Bridges of Madison County,Robert James Waller,1995,http://images.amazon.com/images/P/0446364495.01.MZZZZZZZ.jpg
0446520802,The Notebook,Nicholas Sparks,1996,http://images.amazon.com/images/P/0446520802.01.MZZZZZZZ.jpg
0446605239,The Notebook,Nicholas Sparks,1998,http://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg
0446676098,The Notebook,Nicholas Sparks,1999,http://images.amazon.com/images/P/0446676098.01.MZZZZZZZ.jpg
0606191267,The Notebook,Nicholas Sparks,2000,http://images.amazon.com/images/P/0606191267.01.MZZZZZZZ.jpg
0446523569,Message in a Bottle,Nicholas Sparks,1998,http://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg
0446606812,Message in a Bottle,Nicholas Sparks,1999,http://images.amazon.com/images/P/0446606812.01.MZZZZZZZ.jpg
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg
0446516538,Slow Waltz in Cedar Bend,Robert James Waller,1993,http://images.amazon.com/images/P/0446516538.01.MZZZZZZZ.jpg
074932032X,Slow Waltz in Cedar Bend,Robert James Waller,1995,http://images.amazon.com/images/P/074932032X.01.MZZZZZZZ.jpg
0446604275,Primary Colors: A Novel of Politics,Anonymous,1996,http://images.amazon.com/images/P/0446604275.01.MZZZZZZZ.jpg
0446608955,A Walk to Remember,Nicholas Sparks,2000,http://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg
0446525537,A Walk to Remember,Nicholas Sparks,1999,http://images.amazon.com/images/P/0446525537.01.MZZZZZZZ.jpg
0446609617,Standoff,Sandra Brown,2001,http://images.amazon.com/images/P/0446609617.01.MZZZZZZZ.jpg
0446527017,Standoff,Sandra Brown,2000,http://images.amazon.com/images/P/0446527017.01.MZZZZZZZ.jpg
0739407635,Standoff,Sandra Brown,0,http://images.amazon.com/images/P/0739407635.01.MZZZZZZZ.jpg
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg
0446802204,Master of the Game,Sidney Sheldon,1983,http://images.amazon.com/images/P/0446802204.01.MZZZZZZZ.jpg
0446355453,Master of the Game,Sidney Sheldon,1988,http://images.amazon.com/images/P/0446355453.01.MZZZZZZZ.jpg
0688013651,Master of the Game,Sidney Sheldon,1982,http://images.amazon.com/images/P/0688013651.01.MZZZZZZZ.jpg
044922046X,Catering to Nobody,Diane Mott Davidson,1995,http://images.amazon.com/images/P/044922046X.01.MZZZZZZZ.jpg
0312042779,Catering to Nobody,Diane Mott Davidson,1990,http://images.amazon.com/images/P/0312042779.01.MZZZZZZZ.jpg
0553584707,Catering to Nobody,Diane Mott Davidson,2002,http://images.amazon.com/images/P/0553584707.01.MZZZZZZZ.jpg
0451128370,Christine,Stephen King,1983,http://images.amazon.com/images/P/0451128370.01.MZZZZZZZ.jpg
0451160444,Christine,Stephen King,2004,http://images.amazon.com/images/P/0451160444.01.MZZZZZZZ.jpg
0451139682,Different Seasons,Stephen King,1983,http://images.amazon.com/images/P/0451139682.01.MZZZZZZZ.jpg
0451160940,Different Seasons,Stephen King,1986,http://images.amazon.com/images/P/0451160940.01.MZZZZZZZ.jpg
0451183940,Different Seasons,Stephen King,1994,http://images.amazon.com/images/P/0451183940.01.MZZZZZZZ.jpg
0670272663,Different Seasons,Stephen King,1982,http://images.amazon.com/images/P/0670272663.01.MZZZZZZZ.jpg
0808517635,Different Seasons,Stephen King,1999,http://images.amazon.com/images/P/0808517635.01.MZZZZZZZ.jpg
0451152190,Over the Edge,Jonathan Kellerman,1993,http://images.amazon.com/images/P/0451152190.01.MZZZZZZZ.jpg
0804119708,Over the Edge,Suzanne Brockmann,2001,http://images.amazon.com/images/P/0804119708.01.MZZZZZZZ.jpg
0345466624,Over the Edge,JONATHAN KELLERMAN,2004,http://images.amazon.com/images/P/0345466624.01.MZZZZZZZ.jpg
006109367X,Over the Edge,Hal Friedman,1999,http://images.amazon.com/images/P/006109367X.01.MZZZZZZZ.jpg
0553272853,Over the Edge,Jay Johnstone,1988,http://images.amazon.com/images/P/0553272853.01.MZZZZZZZ.jpg
0425143295,Over the Edge,Betty Rowlands,1994,http://images.amazon.com/images/P/0425143295.01.MZZZZZZZ.jpg
0451155750,The Dead Zone,Stephen King,2004,http://images.amazon.com/images/P/0451155750.01.MZZZZZZZ.jpg
0670260770,The Dead Zone,Stephen King,1979,http://images.amazon.com/images/P/0670260770.01.MZZZZZZZ.jpg
0881037214,The Dead Zone,Stephen King,1999,http://images.amazon.com/images/P/0881037214.01.MZZZZZZZ.jpg
0451126661,The Dead Zone,Stephen King,1980,http://images.amazon.com/images/P/0451126661.01.MZZZZZZZ.jpg
0451156609,The Tommyknockers,Stephen King,1994,http://images.amazon.com/images/P/0451156609.01.MZZZZZZZ.jpg
0399133143,The Tommyknockers,Stephen King,1987,http://images.amazon.com/images/P/0399133143.01.MZZZZZZZ.jpg
0451160525,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,1994,http://images.amazon.com/images/P/0451160525.01.MZZZZZZZ.jpg
0452284694,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,2003,http://images.amazon.com/images/P/0452284694.01.MZZZZZZZ.jpg
0452279607,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,1997,http://images.amazon.com/images/P/0452279607.01.MZZZZZZZ.jpg
093798650X,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,1982,http://images.amazon.com/images/P/093798650X.01.MZZZZZZZ.jpg
0451172817,Needful Things,Stephen King,2004,http://images.amazon.com/images/P/0451172817.01.MZZZZZZZ.jpg
0451178599,Needful Things,Stephen King,1993,http://images.amazon.com/images/P/0451178599.01.MZZZZZZZ.jpg
0451176464,Gerald's Game,Stephen King,2001,http://images.amazon.com/images/P/0451176464.01.MZZZZZZZ.jpg
0670846503,Gerald's Game,Stephen King,1992,http://images.amazon.com/images/P/0670846503.01.MZZZZZZZ.jpg
0451181379,The Door to December,Dean R. Koontz,1994,http://images.amazon.com/images/P/0451181379.01.MZZZZZZZ.jpg
0451205421,The Door to December,Dean R. Koontz,2002,http://images.amazon.com/images/P/0451205421.01.MZZZZZZZ.jpg
0451183665,A Case of Need,Michael Crichton,1994,http://images.amazon.com/images/P/0451183665.01.MZZZZZZZ.jpg
0451210638,A Case of Need,Michael Crichton,2003,http://images.amazon.com/images/P/0451210638.01.MZZZZZZZ.jpg
0525938028,A Case of Need,Michael Crichton,1993,http://images.amazon.com/images/P/0525938028.01.MZZZZZZZ.jpg
0451184963,Insomnia,Stephen King,1995,http://images.amazon.com/images/P/0451184963.01.MZZZZZZZ.jpg
0670855030,Insomnia,Stephen King,1994,http://images.amazon.com/images/P/0670855030.01.MZZZZZZZ.jpg
0451410491,Insomnia,Robert Westbrook,2002,http://images.amazon.com/images/P/0451410491.01.MZZZZZZZ.jpg
0785764836,Insomnia,Stephen King,1999,http://images.amazon.com/images/P/0785764836.01.MZZZZZZZ.jpg
0451186923,The Deep End of the Ocean,Jacquelyn Mitchard,1997,http://images.amazon.com/images/P/0451186923.01.MZZZZZZZ.jpg
0451197747,The Deep End of the Ocean,Jacquelyn Mitchard,1999,http://images.amazon.com/images/P/0451197747.01.MZZZZZZZ.jpg
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg
051512608X,The Reef,Nora Roberts,1999,http://images.amazon.com/images/P/051512608X.01.MZZZZZZZ.jpg
0399144412,The Reef,Nora Roberts,1998,http://images.amazon.com/images/P/0399144412.01.MZZZZZZZ.jpg
0515126772,Jewels of the Sun (Irish Trilogy),Nora Roberts,2004,http://images.amazon.com/images/P/0515126772.01.MZZZZZZZ.jpg
0515127833,River's End,Nora Roberts,2003,http://images.amazon.com/images/P/0515127833.01.MZZZZZZZ.jpg
0399144706,River's End,Nora Roberts,1999,http://images.amazon.com/images/P/0399144706.01.MZZZZZZZ.jpg
0515128546,Tears of the Moon (Irish Trilogy),Nora Roberts,2000,http://images.amazon.com/images/P/0515128546.01.MZZZZZZZ.jpg
0515130389,Carolina Moon,Nora Roberts,2001,http://images.amazon.com/images/P/0515130389.01.MZZZZZZZ.jpg
0399145923,Carolina Moon,Nora Roberts,2000,http://images.amazon.com/images/P/0399145923.01.MZZZZZZZ.jpg
0739408011,Carolina Moon,Nora Roberts,0,http://images.amazon.com/images/P/0739408011.01.MZZZZZZZ.jpg
0515131229,Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003,http://images.amazon.com/images/P/0515131229.01.MZZZZZZZ.jpg
0525941908,The Regulators,Richard Bachman,1996,http://images.amazon.com/images/P/0525941908.01.MZZZZZZZ.jpg
0451191013,The Regulators,Stephen King,2002,http://images.amazon.com/images/P/0451191013.01.MZZZZZZZ.jpg
0553096834,Couplehood,Paul Reiser,1994,http://images.amazon.com/images/P/0553096834.01.MZZZZZZZ.jpg
0553573136,Couplehood,PAUL REISER,1995,http://images.amazon.com/images/P/0553573136.01.MZZZZZZZ.jpg
0553256157,I Know Why the Caged Bird Sings,Maya Angelou,1971,http://images.amazon.com/images/P/0553256157.01.MZZZZZZZ.jpg
0553279378,I Know Why the Caged Bird Sings,MAYA ANGELOU,1983,http://images.amazon.com/images/P/0553279378.01.MZZZZZZZ.jpg
055338001X,I Know Why the Caged Bird Sings,MAYA ANGELOU,1997,http://images.amazon.com/images/P/055338001X.01.MZZZZZZZ.jpg
0553225472,I Know Why the Caged Bird Sings,Maya Angelou,1982,http://images.amazon.com/images/P/0553225472.01.MZZZZZZZ.jpg
0394429869,I Know Why the Caged Bird Sings,Maya Angelou,1996,http://images.amazon.com/images/P/0394429869.01.MZZZZZZZ.jpg
0553272535,Night,Elie Wiesel,1982,http://images.amazon.com/images/P/0553272535.01.MZZZZZZZ.jpg
0553289713,Night,Alan Rodgers,1991,http://images.amazon.com/images/P/0553289713.01.MZZZZZZZ.jpg
0140037896,Night,Edna Obrien,0,http://images.amazon.com/images/P/0140037896.01.MZZZZZZZ.jpg
0553284789,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990,http://images.amazon.com/images/P/0553284789.01.MZZZZZZZ.jpg
055356451X,Night Sins,TAMI HOAG,1995,http://images.amazon.com/images/P/055356451X.01.MZZZZZZZ.jpg
0553099612,Night Sins,Tami Hoag,1995,http://images.amazon.com/images/P/0553099612.01.MZZZZZZZ.jpg
055357230X,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1999,http://images.amazon.com/images/P/055357230X.01.MZZZZZZZ.jpg
0553580221,False Memory,Dean R. Koontz,2000,http://images.amazon.com/images/P/0553580221.01.MZZZZZZZ.jpg
055310666X,False Memory,Dean R. Koontz,1999,http://images.amazon.com/images/P/055310666X.01.MZZZZZZZ.jpg
0553479024,False Memory,DEAN KOONTZ,1999,http://images.amazon.com/images/P/0553479024.01.MZZZZZZZ.jpg
0613335864,False Memory,Dean Koontz,2001,http://images.amazon.com/images/P/0613335864.01.MZZZZZZZ.jpg
0670805149,Lake Wobegon Days,Garrison Keillor,1985,http://images.amazon.com/images/P/0670805149.01.MZZZZZZZ.jpg
0140099832,Lake Wobegon Days,Garrison Keillor,1990,http://images.amazon.com/images/P/0140099832.01.MZZZZZZZ.jpg
0140129189,Lake Wobegon Days,Garrison Keillor,1986,http://images.amazon.com/images/P/0140129189.01.MZZZZZZZ.jpg
0671002481,The First Wives Club Movie Tie In,Olivia Goldsmith,1996,http://images.amazon.com/images/P/0671002481.01.MZZZZZZZ.jpg
0671014919,My Gal Sunday,Mary Higgins Clark,2003,http://images.amazon.com/images/P/0671014919.01.MZZZZZZZ.jpg
0684832291,My Gal Sunday,Mary Higgins Clark,1996,http://images.amazon.com/images/P/0684832291.01.MZZZZZZZ.jpg
0671024248,Hearts In Atlantis,Stephen King,2000,http://images.amazon.com/images/P/0671024248.01.MZZZZZZZ.jpg
0671525743,Night Whispers,Judith McNaught,1999,http://images.amazon.com/images/P/0671525743.01.MZZZZZZZ.jpg
0671000853,Night Whispers,Judith McNaught,1998,http://images.amazon.com/images/P/0671000853.01.MZZZZZZZ.jpg
0345291506,Night Whispers,Charles Veley,1980,http://images.amazon.com/images/P/0345291506.01.MZZZZZZZ.jpg
1551661780,Night Whispers,Lynn Erickson,1996,http://images.amazon.com/images/P/1551661780.01.MZZZZZZZ.jpg
0671537458,Waiting to Exhale,Terry McMillan,1995,http://images.amazon.com/images/P/0671537458.01.MZZZZZZZ.jpg
0670839809,Waiting to Exhale,Terry McMillan,1992,http://images.amazon.com/images/P/0670839809.01.MZZZZZZZ.jpg
0671501488,Waiting to Exhale,Terry McMillan,1994,http://images.amazon.com/images/P/0671501488.01.MZZZZZZZ.jpg
0671617028,The Color Purple,Alice Walker,1985,http://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg
0671019074,The Color Purple,Alice Walker,1998,http://images.amazon.com/images/P/0671019074.01.MZZZZZZZ.jpg
0151191530,The Color Purple,Alice Walker,1982,http://images.amazon.com/images/P/0151191530.01.MZZZZZZZ.jpg
0671727796,The Color Purple,Alice Walker,1990,http://images.amazon.com/images/P/0671727796.01.MZZZZZZZ.jpg
0156028352,The Color Purple,Alice Walker,2003,http://images.amazon.com/images/P/0156028352.01.MZZZZZZZ.jpg
067164257X,GARDEN OF SHADOWS (Dollanger Saga (Paperback)),Ariel Jennifer Jones,1987,http://images.amazon.com/images/P/067164257X.01.MZZZZZZZ.jpg
0671682911,GARDEN OF SHADOWS (Dollanger Saga (Paperback)),V.C. Andrews,1989,http://images.amazon.com/images/P/0671682911.01.MZZZZZZZ.jpg
0671670689,Dawn (Cutler),V.C. Andrews,1990,http://images.amazon.com/images/P/0671670689.01.MZZZZZZZ.jpg
0671758896,"Loves Music, Loves to Dance",Mary Higgins Clark,1992,http://images.amazon.com/images/P/0671758896.01.MZZZZZZZ.jpg
0671673645,"Loves Music, Loves to Dance",Mary Higgins Clark,1991,http://images.amazon.com/images/P/0671673645.01.MZZZZZZZ.jpg
0785727345,"Loves Music, Loves to Dance",Mary Higgins Clark,1999,http://images.amazon.com/images/P/0785727345.01.MZZZZZZZ.jpg
0671867113,Moonlight Becomes You,Mary Higgins Clark,1997,http://images.amazon.com/images/P/0671867113.01.MZZZZZZZ.jpg
0671886665,A Cry In The Night,Mary Higgins Clark,1993,http://images.amazon.com/images/P/0671886665.01.MZZZZZZZ.jpg
0679425268,Sole Survivor,DEAN KOONTZ,1997,http://images.amazon.com/images/P/0679425268.01.MZZZZZZZ.jpg
0553582941,Sole Survivor,DEAN KOONTZ,2000,http://images.amazon.com/images/P/0553582941.01.MZZZZZZZ.jpg
0807071390,Sole Survivor,Ruthanne Lum McCunn,1999,http://images.amazon.com/images/P/0807071390.01.MZZZZZZZ.jpg
0688042171,If Tomorrow Comes,Sidney Sheldon,1985,http://images.amazon.com/images/P/0688042171.01.MZZZZZZZ.jpg
0446329894,If Tomorrow Comes,Sidney Sheldon,1986,http://images.amazon.com/images/P/0446329894.01.MZZZZZZZ.jpg
0446357421,If Tomorrow Comes,Sidney Sheldon,1988,http://images.amazon.com/images/P/0446357421.01.MZZZZZZZ.jpg
074343627X,Dreamcatcher,Stephen King,2001,http://images.amazon.com/images/P/074343627X.01.MZZZZZZZ.jpg
